Name,Category,Matrix unit,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg-RE)","Vitamin A activity, RAE (µg-RE)",Retinol (µg),Beta- carotene activity (µg-BCE),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Panthotenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (?-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg)
"Bell pepper, green, raw",Vegetables/Fresh vegetables,per 100g edible portion,20,0.3,0.1,0,0.2,0,2.6,2.5,0.1,2,0.8,0,0,92.9,42,21,0,250,217,0.03,0.01,0.28,0,0.1,27.6,0.13,126.6,0,0.7,160,6,19,6,6,15,0.3,2,0.2,n.d.
"Bell pepper, green, stewed (without addition of fat and salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,25,0.4,0.1,0,0.2,0,3.2,3.1,0.1,2.5,1,0,0,93,49,25,0,295,256,0.03,0.01,0.29,0,0.11,21.8,0.14,121.6,0,0.92,160,6.9,24,7.7,6.6,19,0.3,2.5,0.2,n.d.
"Bell pepper, red, raw",Vegetables/Fresh vegetables,per 100g edible portion,32,0.4,0.1,0,0.1,0,5.2,5.1,0.1,2,0.9,0,0,91.3,152,76,0,910,696,0.03,0.03,0.27,0,0.9,28.2,0.16,149.3,0,2.26,170,3,18,9,12,20,0.4,1,0.3,n.d.
"Bell pepper, red, stewed (without addition of fat and salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,39,0.4,0.1,0,0.2,0,6.4,6.2,0.1,2.5,1.1,0,0,89.6,180,90,0,1078,825,0.03,0.03,0.29,0,0.95,22.2,0.17,143.4,0,2.97,170,3.4,23,11,13,25,0.4,1.3,0.3,n.d.
Berliner pastry,Sweets/Other sweet pastries,per 100g edible portion,336,12.8,6.8,4,0.9,104,45.8,17.1,28.5,2.2,8.4,0.6,0,32.2,130,126,122,50,50,0.05,0.1,0.1,tr.,0.48,14,0.38,0.2,1,0.78,110,250,400,38,16,100,1.3,4.1,0.9,n.d.
Bernese alp cheese,Milk and dairy products/Hard cheese,per 100g edible portion,453,38.3,n.d.,n.d.,n.d.,n.d.,0,n.d.,0,0,27.1,1.6,0,26.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,660,n.d.,920,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Bernese cheese for slicing,Milk and dairy products/Hard cheese,per 100g edible portion,491,41.2,n.d.,n.d.,n.d.,n.d.,0,n.d.,0,0,30,1.7,0,21.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.56,n.d.,0.83,n.d.,n.d.,0.43,n.d.,0.8,n.d.,n.d.,690,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Bernese tongue sausage,Sausages and cold meats/Boiled sausage products,per 100g edible portion,333,29.4,10.8,13.7,3,63,0,0,0,0,17.3,1.5,0,53.3,7,7,6,3,3,0.53,0.2,0.31,2.61,4.95,2.3,0.54,0,0,0.52,220,610,880,3.4,20,100,1.3,0.7,2.4,n.d.
"Berries (average), cooked (without addition of sugar)",Fruit/Cooked fruit (incl. cans),per 100g edible portion,35,0.6,0,0,0.1,0,5.3,5,0,3.2,0.7,0,0,90.2,1,0,0,5,5,0.01,0.02,0.03,0,0.31,19.1,0.13,20.8,0,0.41,90,0.7,58,18,11,20,0.2,1.3,0.1,0.5
"Berries (average), raw",Fruit/Fresh fruit,per 100g edible portion,40,0.5,0,0,0.1,0,6.3,5.9,0,3.7,0.7,0,0,88.7,1,1,0,6,6,0.02,0.03,0.04,0,0.37,36.3,0.15,49.4,0,0.39,140,1.1,55,18,12,24,0.2,1.2,0.1,0.5
Biber (Filled ginger bread type),Sweets/Other sweet pastries,per 100g edible portion,355,5.6,0.7,3,1.3,22,65.6,36.9,28.4,3,7.8,0,0.7,18.1,8,8,7,2,2,0.08,0.12,0.11,0.06,0.35,9.8,0.24,0.5,0.1,2.45,140,6.2,37,52,30,97,1.3,2.7,0.8,2
"Bierwurst (coarse heat-treated, cured & smoked sausage, beef and pork)",Sausages and cold meats/Boiled sausage products,per 100g edible portion,291,25.4,9.4,11.8,2.6,63,0,0,0,0,15.6,1.4,0.1,59,5,5,5,2,2,0.23,0.16,0.13,1.52,2.65,1.6,0.29,0,0,0.43,120,570,870,2.9,13,79,1.2,0.7,2.1,n.d.
"Birchermüesli, prepared (no sugar added)",Prepared dishes/Muesli and pudding,per 100g edible portion,86,3.1,1.1,1,0.7,5,11.1,8.2,2.8,1.5,2.6,0,0,81.7,18,16,15,20,20,0.05,0.09,0.05,0.09,0.19,9.4,0.23,4.7,0,0.31,160,19,79,59,19,78,0.3,5.8,0.4,n.d.
"Birnenweggen, pastry with pear",Sweets/Other sweet pastries,per 100g edible portion,363,10.4,5.9,2.5,0.9,25,57.2,33.5,19.5,6.9,4.9,0.8,1,20,84,80,76,44,44,0.08,0.06,0.09,0,0.5,15.8,0.24,0.7,0.2,0.44,320,300,450,64,32,75,1.6,2.2,0.6,n.d.
Black forest cake,Sweets/Cakes and tarts,per 100g edible portion,248,16.1,9.3,5,0.8,88,21.4,12,9.4,0.9,3.9,0.1,tr.,56.4,199,185,171,169,169,0.03,0.1,0.04,tr.,0.19,6,0.28,0.8,1,0.72,110,51,67,47,13,77,0.7,5.3,0.5,n.d.
Black pudding,Sausages and cold meats/Cooked sausage products,per 100g edible portion,149,10.9,4.6,4.6,1,32,2.5,2.4,0,0.1,10.2,2,0,76.2,35,34,33,10,10,0.05,0.12,0.19,1.09,0.38,5.1,0.39,0.5,0,0.12,140,790,1230,61,13,64,30,6.9,1.6,n.d.
"Black salsify, raw",Vegetables/Fresh vegetables,per 100g edible portion,55,0.4,0.1,0,0.2,0,2.1,2,0.1,18.3,1.4,0,0,77.9,9,4,0,52,52,0.14,0.04,0.09,0,0.35,35.4,0.17,4.9,0,0.8,240,3,31,33,24,82,1.2,2.5,0.4,0.2
"Black salsify, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,57,0.5,0.1,0,0.3,0,2.2,2.1,0.1,19.1,1.5,0,0,76.7,9,4,0,52,52,0.12,0.04,0.09,0,0.31,23.6,0.16,4.4,0,0.89,230,2.7,32,35,23,86,1.1,2.6,0.4,0.2
"Blackberry pie, home-made (with sweet short pastry base)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,215,11.7,5.7,3.9,1.2,19,22.3,10.2,11.7,3.6,3.2,0.1,0,59.4,58,52,46,73,73,0.04,0.05,0.04,0.05,0.33,11.6,0.28,6.2,0.1,1.15,160,41,82,30,18,47,0.5,1.9,0.3,n.d.
"Blackberry pie, home-made, baked (with cake dough)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,144,6.9,3,2.6,1,18,15.2,5.8,9,3.9,3.2,0.2,0,71,18,13,8,57,57,0.03,0.06,0.04,0.08,0.33,9.3,0.32,5.7,0.1,1.01,160,89,150,34,19,50,0.6,3.2,0.4,n.d.
"Blackberry pie, home-made, baked (with puff pastry)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,141,7.1,3,2.7,1,18,14.5,5.8,8.3,3.8,3,0.3,0,71.7,19,14,8,65,57,0.03,0.05,0.02,0.08,0.33,9.4,0.31,5.7,0.1,1.05,160,110,180,34,17,42,0.4,3.1,0.3,n.d.
"Blackberry, fresh",Fruit/Fresh fruit,per 100g edible portion,47,0.7,0.1,0.2,0.4,0,6.5,6.1,tr.,5.2,1.1,0,0,86.1,19,9,0,113,98,0.01,0.03,0.02,0,0.47,16.1,0.24,10.7,0,0.6,200,1,20,31,20,25,0.4,0.4,0.2,tr.
"Blanc battu with fruits, with sweetener",Milk and dairy products/Fresh cheese and curds,per 100g edible portion,67,0.2,0.1,0,0,0,8.3,5.2,2.6,0.3,8,0.1,0,83.1,4,3,2,13,13,0.03,0.34,0.04,0.39,0.28,15.1,0.37,1.5,0,0.06,180,48,110,130,13,140,0.1,19,0.5,n.d.
"Blanc battu, plain, low fat",Milk and dairy products/Fresh cheese and curds,per 100g edible portion,47,0,0,0,0,1,3.9,3.9,0,tr.,7.8,0.1,0,86.5,5,4,4,3,3,0.04,0.32,0.06,0.36,0.2,24,0.35,0,0.1,tr.,140,44,89,130,12,120,0.2,10,0.5,n.d.
Blue cheese (average),Milk and dairy products/Hard cheese,per 100g edible portion,360,31.5,18.9,7.4,1.5,95,0.2,0.1,0,0,19.1,3.8,0,48.9,221,218,214,44,44,0.03,0.58,0.1,0.72,0.51,46,0.99,0,0.5,0.67,130,1530,2100,610,24,390,0.4,40,2.5,n.d.
"Blueberry, freeze-dried",Fruit/Dried fruit,per 100g edible portion,338,4.4,0.3,0.6,1.7,0,56.4,46.4,10,24.4,6.1,0,0,6.7,42,21,0,250,n.d.,0.42,0.42,0.46,0,3.7,25,0.89,15,0,7.6,540,1.7,n.d.,120,49,140,1.8,5.6,1.1,1.4
"Blueberry, raw",Fruit/Fresh fruit,per 100g edible portion,52,0.3,0,0.2,0,0,10.6,10,0,1.5,0.9,0,0,85.7,4,2,0,23,18,0.03,0.03,0.05,0,0.22,9,0.12,7.5,0,0.88,66,2,53,10,5,16,0.6,2,0.1,<0.5
"Boiling meat salad, prepared",Prepared dishes/Salads,per 100g edible portion,201,14.9,3.5,7.9,2.8,45,1.5,1.2,0.1,0.5,15,0.8,0,68,30,17,3,164,164,0.03,0.09,0.21,0.67,1.56,11.5,0.35,7.3,0.3,2.76,200,310,310,11,13,100,1.4,2.9,3.3,n.d.
"Bouillon, meat, prepared",Prepared dishes/Stews and soups,per 100g edible portion,5,0.3,0.2,0.1,0,0,0.2,0,0.1,tr.,0.3,1.1,0,98,0,0,0,0,0,tr.,0.01,0.01,1,0.83,23,0.14,0,0,0,54,420,330,1,10,13,0.2,3,0,n.d.
"Bouillon, poultry, prepared",Prepared dishes/Stews and soups,per 100g edible portion,5,0.3,0.1,0.1,0.1,<5,0.3,0.1,0.1,tr.,0.3,1,0,98.1,0,0,0,0,0,tr.,0.01,0.01,0.4,1.2,23,0.18,0,0,0,10,400,290,6,11,5,tr.,2.8,tr.,n.d.
"Bouillon, vegetable, prepared",Prepared dishes/Stews and soups,per 100g edible portion,6,0.4,0.1,0.2,0.1,0,0.4,0.1,0.2,tr.,0.3,0.9,0,97.5,0,0,0,2,2,0.11,0.01,0,0,0.1,1,0.03,0,0,0,8,360,280,1,4,3,0.1,3.6,0,n.d.
"Braided bread, wholemeal, made with butter","Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,272,6.4,3.2,1.4,1.2,20,40.4,0.9,39.5,7.3,9.5,1.2,0,36.9,46,44,42,22,22,0.25,0.15,0.29,0.03,0.67,33.9,0.68,0,0.1,0.66,270,460,710,22,86,240,3.3,2.6,2.3,3.7
Braided white bread made with butter,"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,325,11.4,6.5,2.6,0.9,41,45.7,2.9,42.4,2.1,9,1.5,0,32.5,98,95,91,41,41,0.11,0.13,0.06,0.1,0.5,23.4,0.37,0.3,0.3,0.56,180,590,930,49,14,90,0.5,5.4,0.6,2.6
Brazil nut,"Nuts, seeds and oleaginous fruit",per 100g edible portion,698,66.5,16.1,23.9,24.4,0,4.2,2.3,0.3,7.5,17,0,0,3.4,0,0,0,0,0,0.62,0.04,0.1,0,0.3,22,0.18,0.7,0,5.65,640,0.7,55,160,350,650,2.4,5,4.3,230
Bread (average),"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,264,4.6,2.3,1,0.7,14,44.6,1.3,42.9,3.7,9.2,1.6,0,38.7,34,32,31,14,14,0.17,0.1,0.12,0.04,0.74,21.8,0.39,0.1,0.1,0.41,170,620,970,29,36,130,1.5,2.7,1.2,2.9
"Bread for toasting, dark or multigrain","Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,272,4.7,0.5,1.9,2,0,45.6,4,41.4,5.2,9.1,1.3,0,36.1,0,0,0,2,2,0.19,0.1,0.23,0,0.72,26.5,0.49,0,0,1.43,200,500,770,17,59,180,2.4,1.4,1.7,3.7
"Bread for toasting, white, made with butter","Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,316,10.4,6,2.4,0.9,38,45.7,2.7,42.6,2.2,8.9,1.4,0,33.5,90,87,83,37,37,0.11,0.12,0.06,0.1,0.48,22,0.36,0.2,0.2,0.54,180,540,860,46,14,88,0.5,5.1,0.6,2.6
"Bread for toasting, white, made with vegetable oil","Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,267,3.3,0.3,1.6,1.1,0,49.2,4.4,44.4,2.9,8.7,1.3,0,36.7,0,0,0,0,0,0.16,0.06,0.16,0,0.62,25,0.38,0,0,0.85,140,520,810,13,30,110,1.4,0.9,1,2.8
"Bread for toasting, wholemeal","Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,271,4.9,0.5,1.9,2.3,0,43.7,4.2,39.5,7.4,9.3,1.3,0,35.3,1,0,0,3,3,0.25,0.14,0.29,0,0.63,31.6,0.65,0,0,1.59,270,510,770,21,87,240,3.4,1.8,2.3,3.3
Bread roll (semi white),"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,215,1,0.2,0.2,0.5,0,41.5,0.4,40.9,2.9,8.6,1.9,0,46.7,0,0,0,0,0,0.15,0.07,0.12,0,0.72,22.9,0.31,0,0,0.28,120,770,1170,17,28,110,1.3,1.1,1,2.7
Bread roll from St. Gallen (semi white),"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,231,1,0.1,0.1,0.5,0,44.6,0.3,43.9,3.5,9.1,2.1,0,42.5,0,0,0,0,0,0.15,0.07,0.18,0,0.78,20.7,0.37,0,0,0.27,140,840,1280,16,37,130,1.7,1.2,1.2,2.7
Bread roll with chocolate,Sweets/Other sweet pastries,per 100g edible portion,366,14.3,8.5,4.1,0.9,20,49.7,16.3,32.6,2.2,8.6,1.3,0,25.2,71,69,66,33,33,0.12,0.21,0.1,0.05,0.51,21.6,0.35,0.9,0.1,0.43,310,530,800,100,34,160,1.3,1.1,1.1,n.d.
"Bread roll, white","Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,255,0.8,0.2,0.1,0.4,0,51.8,0.7,50.2,2.5,8.7,1.7,0,36.8,0,0,0,0,0,0.11,0.04,0.06,0.01,0.43,15.4,0.23,0,0,0.38,140,690,1080,7.8,14,60,0.6,0.9,0.5,1.9
Bread with walnuts,"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,332,17.9,3.9,3.8,8.9,23,30.8,2,27.9,5.8,9.2,1.2,0,37.2,41,39,37,21,21,0.23,0.1,0.18,0.05,0.75,43.4,0.67,0.1,0.2,0.8,240,490,750,31,67,210,2.1,3.7,1.9,3
Breadcrumbs,"Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,373,2.1,0.5,0.3,0.7,0,73.5,4.4,69.1,4.5,12.7,1,0,6.8,0,0,0,0,0,0.2,0.05,0.11,0,0.8,39,0.6,0,0,0.4,130,400,700,50,23,100,1.2,2.8,0.9,n.d.
Bresaola (cured beef),Sausages and cold meats/Raw sausage products,per 100g edible portion,167,3.9,1.6,1.9,0.2,65,0.4,tr.,tr.,0,32.4,6.8,0,58.2,0,0,tr.,0,tr.,0.12,0.6,0.53,tr.,tr.,19,tr.,0,0.5,0.12,320,2730,tr.,35,tr.,140,7.1,tr.,4.1,n.d.
"Brie, at least 45% fidm",Milk and dairy products/Soft cheese,per 100g edible portion,298,23.5,14.1,5.5,1.1,71,0,0,0,0,21.4,1.3,0,51.4,266,255,244,130,130,0.02,0.25,0.14,1.8,1.2,65,0.69,tr.,0.5,0.61,84,510,980,420,19,300,0.1,8.3,2.5,n.d.
"Brie, at least 50% fidm",Milk and dairy products/Soft cheese,per 100g edible portion,342,30,18,7,1.4,90,0,0,0,0,17.7,1.4,0,48.5,305,293,280,150,150,0.02,0.34,0.13,1.31,1.1,61.1,0.38,tr.,0.7,0.78,120,560,tr.,500,20,340,0.2,20,2.3,n.d.
"Broccoli, raw",Vegetables/Fresh vegetables,per 100g edible portion,39,0.6,0.2,0.1,0.3,0,3.2,1.9,0.6,3.2,3.6,0,0,88.2,92,46,0,554,554,0.1,0.12,0.21,0,0.8,60.3,0.77,102.9,0,1.45,390,12,78,46,21,80,0.9,7.6,0.5,0.8
"Broccoli, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,35,0.5,0.1,0.1,0.2,0,2.9,1.7,0.5,2.8,3.3,0,0,90.9,80,40,0,479,479,0.08,0.1,0.17,0,0.62,34.8,0.63,74.2,0,1.39,320,9.8,71,42,19,73,0.7,6.9,0.4,0.7
Brown bread,"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,234,1.2,0.2,0.1,0.6,0,44.3,0.5,43.5,4.1,9.5,1.6,0,41.8,0,0,0,0,0,0.23,0.07,0.08,0,1.12,20.5,0.33,0,0,0.27,150,630,970,20,38,150,1.6,1.3,1.3,3.4
Brown bread (with iodized salt),"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,234,1.2,0.2,0.1,0.6,0,44.3,0.5,43.5,4.1,9.5,1.6,0,41.8,0,0,0,0,0,0.23,0.07,0.08,0,1.12,20.5,0.33,0,0,0.27,150,620,970,20,38,150,1.6,40,1.3,3.4
Brunsli (chocolate cookie),Sweets/Cookies/Biscuits,per 100g edible portion,515,29.9,5.7,16.4,5.4,0,43.3,39.4,3.3,6.8,14.9,0.1,0,7.5,1,0,0,5,5,0.09,0.51,0.08,0.04,1.03,28.3,0.31,0.2,0,11.57,550,56,100,140,140,270,3.1,1.5,2,n.d.
"Brussel sprouts, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,37,0.4,0.1,0,0.2,0,3,2.5,0.4,3.6,3.6,0,0,89.4,17,8,0,100,100,0.11,0.12,0.24,0,0.45,26.8,0.49,105,0,0.86,350,4.7,28,28,18,72,0.5,0.6,0.3,2.9
"Brussels sprouts, raw",Vegetables/Fresh vegetables,per 100g edible portion,41,0.4,0.1,0,0.2,0,3.3,2.8,0.5,4,4,0,0,85.5,19,10,0,115,115,0.14,0.13,0.3,0,0.59,46.5,0.59,145.6,0,0.89,430,5.8,31,31,21,78,0.6,0.7,0.4,3.2
Buckwheat flour,"Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,348,2.2,0.3,0.5,0.6,0,68.4,0,68.4,4.2,11.5,0,0,12.1,0,0,0,0,0,0.55,0.15,0.34,0,4.75,66.8,1.53,0,0,0.08,390,17,10,24,160,260,2.5,2.5,2.3,2.8
"Buckwheat, grain peeled","Cereal products, pulses and potatoes/Other cereal products",per 100g edible portion,346,1.7,0.4,0.6,0.6,0,71,0.4,70.6,3.7,9.8,0,0,12.8,2,1,0,13,13,0.37,0.15,0.36,0,2.9,50,1.23,0,0,0.13,390,2,12,18,140,320,3.8,0.5,2.7,n.d.
"Burger patty (beef), pan fried in HOLL rapeseed oil",Meat and offal/Beef,per 100g edible portion,187,9.1,2.5,4.9,0.9,86,6.4,1.2,4.9,0.7,19.5,0.7,0,64.4,29,22,14,90,90,0.07,0.13,0.25,1.08,2.65,16.9,0.47,2.3,0.5,0.98,280,290,410,21,17,160,2.1,7.5,3.9,n.d.
Butter cake,Sweets/Cakes and tarts,per 100g edible portion,430,24.7,13.7,6.1,1.7,158,44.7,26.6,17.9,0.8,6.9,0.2,0,23.2,256,248,240,97,97,0.09,0.1,0.07,0.38,0.1,24.2,0.83,1.5,1.1,0.96,99,68,98,21,13,94,0.9,12,0.7,7.3
"Butter croissant, white","Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,432,24.2,14.2,5.7,1.5,77,43.5,3.3,39.8,2.6,8.7,1.2,0,21.6,209,201,194,89,89,0.12,0.11,0.11,0.1,0.59,21.5,0.38,0.3,0.5,0.71,170,490,770,52,25,120,1,3.1,0.9,3.5
"Butter croissant, wholemeal","Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,368,19.7,11.5,4.6,1.3,63,38.7,2.2,36.2,4.2,6.8,1.1,0,31.1,169,163,157,72,72,0.12,0.09,0.1,0.04,0.68,22.4,0.34,0,0.4,0.72,160,440,690,15,24,110,1,2.5,1,2.1
Butter of choice,Fats and oils/Fats;Milk and dairy products/Cream and butter,per 100g edible portion,746,82.3,49.4,19.3,3.8,241,0.7,0.6,0,0,0.7,0,0,16.4,833,802,771,374,370,0,0.04,0,0.07,0.04,0,0.06,0,1.1,1.77,21,<10,13,18,1.5,22,0,8,<0.2,0.5
"Butter, 40% fat",Fats and oils/Fats;Milk and dairy products/Cream and butter,per 100g edible portion,391,39.8,24.1,12,1.5,140,3.5,3.5,0,0,4.8,0.3,0,51.9,360,340,320,240,240,0.03,0.01,0.02,0.5,0.97,10,0.35,0,1.4,1,160,120,120,120,14,90,0,3.5,0.4,n.d.
"Butter, cheese dairy",Fats and oils/Fats;Milk and dairy products/Cream and butter,per 100g edible portion,747,82.5,49.5,19.4,3.8,246,0.6,0.5,0,0,0.4,0,0,16.5,856,825,794,374,370,0,0.02,0,0,0,0,0,0,1.3,2.2,18,<10,11,12,1,18,0,0,<0.2,n.d.
"Butter, clarified",Fats and oils/Fats;Milk and dairy products/Cream and butter,per 100g edible portion,885,98.3,58.9,23.1,4.5,282,0,0,0,0,0.1,0,0,1.1,782,766,749,199,199,tr.,tr.,tr.,0,0,0,tr.,0,1.6,1.77,<5,<10,<5,<2,0,0,0,tr.,<0.2,0
"Butterhead lettuce, raw",Vegetables/Fresh vegetables,per 100g edible portion,14,0.2,0,0,0.1,0,1.1,1,0,1.6,1.3,0,0,95,155,78,0,933,933,0.07,0.08,0.05,0,0.4,34.7,0.13,9,0,0.6,140,2.3,57,31,7.6,17,0.4,3.3,0.2,n.d.
Buttermilk,Milk and dairy products/Milk and yoghurt beverages,per 100ml food volume,34,0.5,0.3,0.1,0,1,4,4,0,0,3.4,0.1,0,90.5,10,9,8,9,9,0.03,0.16,0.04,0.2,0.1,5,0.3,0.6,0,0.02,150,57,100,110,16,90,0.1,7.3,0.5,n.d.
Cabbage sausage,Sausages and cold meats/Raw sausage products,per 100g edible portion,363,32.4,11.8,15.1,3.6,46,1.6,1.5,0,0.8,15.9,2.5,0,49.4,6,5,5,6,6,0.44,0.13,0.27,1.05,2.69,12.1,0.38,72.9,0,0.82,160,990,1460,15,17,72,0.7,1.4,1.1,1
"Cabbage vegetables (average), boiled (without addition of salt and fat)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,29,0.4,0.1,0.1,0.2,0,3.1,2.6,0.2,2.4,2.2,0,0,92,16,8,0,96,96,0.06,0.06,0.15,0,0.45,28.2,0.35,49.9,0,0.96,260,6.8,30,35,13,46,0.3,2.2,0.2,1.3
"Cabbage vegetables (average), raw",Vegetables/Fresh vegetables,per 100g edible portion,30,0.4,0.1,0.1,0.2,0,3.2,2.8,0.2,2.5,2.3,0,0,91.6,17,9,0,104,104,0.07,0.07,0.18,0,0.56,46.9,0.41,70.3,0,0.98,310,8.1,32,37,14,48,0.4,2.3,0.3,1.4
"Cake dough (with butter), raw","Cereal products, pulses and potatoes/Dough",per 100g edible portion,375,21.2,12.4,4.9,1.3,55,38.5,0.3,37.8,1.8,6.7,0.8,0,32.5,213,205,197,92,92,0.12,0.03,0.09,0,0.18,8.8,0.26,0,0.3,0.73,100,330,510,11,19,72,0.8,0.7,0.7,1.4
"Cake dough (with vegetable fat), raw","Cereal products, pulses and potatoes/Dough",per 100g edible portion,394,23.5,10.8,9.3,2.5,0,38.1,0.2,37.6,1.8,6.6,0.8,0,30.6,0,0,0,0,0,0.12,0.02,0.09,0,0.18,8.8,0.26,0,0,2.26,98,320,510,7.8,19,67,0.8,0.7,0.6,1.3
"Cake dough, whole (with butter), raw","Cereal products, pulses and potatoes/Dough",per 100g edible portion,372,21.5,12.4,4.9,1.8,55,33.8,0.7,33.1,6.1,7.6,0.8,0,31.5,213,205,197,95,95,0.26,0.1,0.25,0,0.35,27.6,0.66,0,0.3,0.9,220,340,510,20,72,200,2.8,1.5,1.9,2.9
"Cake dough, whole (with vegetable fat), raw","Cereal products, pulses and potatoes/Dough",per 100g edible portion,359,20.2,6.1,9.4,4.3,0,33.7,0.6,33.1,6.1,7.6,0.9,0,32.9,8,4,0,47,47,0.26,0.1,0.25,0.01,0.4,28.1,0.68,0,0.8,3.4,230,350,540,18,72,200,2.8,1.9,1.9,2.8
Cake financier,Sweets/Cakes and tarts,per 100g edible portion,440,26.1,8,11.5,3.8,31,38.5,29.9,8.3,3.3,11.1,0.1,0,22.3,101,98,94,44,44,0.06,0.35,0.05,0.08,0.57,17.3,0.21,0.1,0.2,7.34,260,45,56,80,71,150,1,1.9,1,3.7
Cake with carrots,Sweets/Cakes and tarts,per 100g edible portion,303,16.4,1.8,9.2,3.5,92,25.8,19.6,5.6,3.9,11.1,0.2,0,43.9,307,165,23,1703,1703,0.08,0.32,0.08,0.34,0.62,35.9,0.72,2.8,0.7,7.09,310,65,98,100,71,200,1.8,11,1.3,n.d.
Calimocho (red wine mixed with cola),Non-alcoholic beverages/Soft drinks;Alcoholic beverages/Other alcoholic beverages,per 100ml food volume,55,0,0,0,0,0,5.2,5.1,0,0,0.1,0,4.8,90,0,0,0,0,0,0,0.01,0.01,0,0.05,0,0.05,0,0,0,58,7,10,6.5,8,15,0.5,6,0.1,n.d.
"Camembert, at least 25% fidm",Milk and dairy products/Soft cheese,per 100g edible portion,188,10,6,2.4,0.5,30,0,0,0,0,24.4,1.5,0,58.5,94,88,82,74,74,0.02,0.5,0.17,1.79,1.2,50,0.66,tr.,0.5,0.19,130,600,1500,530,22,410,0.3,20,3,n.d.
"Camembert, at least 45% fidm",Milk and dairy products/Soft cheese,per 100g edible portion,297,23.7,14.2,5.6,1.1,71,0,0,0,0,20.8,2.2,0,52.1,235,218,202,195,195,0.02,0.23,0.15,1.8,1.1,80,0.8,tr.,0.5,0.44,83,890,1170,370,19,260,0.1,20,2.2,n.d.
"Camembert, at least 50% fidm",Milk and dairy products/Soft cheese,per 100g edible portion,355,31.7,19,7.5,1.5,95,0,0,0,0,17.1,1.2,0,47.6,186,168,150,213,213,0.02,0.71,0.14,1.94,1.1,75.2,0.51,tr.,0.5,0.59,99,480,1030,350,16,260,0.2,6.8,1.6,n.d.
Candied lemon peel,Sweets/Other sweets,per 100g edible portion,289,0.4,0.1,0,0.2,0,70,70,0,2,0.4,0,0,26.1,33,17,0,200,200,0.02,0.03,0.06,0,0.12,4,0.1,4,0,0,50,2,1,40,5,4,0.3,0.5,0.1,n.d.
Candied orange peel,Sweets/Other sweets,per 100g edible portion,306,0.3,0.1,0.1,0.1,0,74.3,74.3,0,2.3,0.4,0,0,21.5,33,17,0,200,200,0.04,0.03,0.06,0,0.3,4,0.15,4,0,0,70,1,1,50,7,7,0.3,0.5,0.1,n.d.
